,Malas,Regulares,Buenas,Excelentes
-ay,0.0,0.0,0.0,0.001721639284459484
-ay-ay-ay,0.0,0.0,0.0,0.001721639284459484
-babe,0.0,0.0021691973969631237,0.0024154589371980675,0.0
-babi,0.005710206995003569,0.0,0.0,0.0
-back,0.0,0.0,0.0,0.0013088087841016105
-bad,0.0013966480446927375,0.0,0.0,0.0
-bah,0.0013966480446927375,0.0,0.0,0.0
-bard,0.0,0.0021691973969631237,0.0,0.0
-barzini,0.0,0.0,0.0,0.0026721879411785404
-be,0.0011864315672737561,0.0,0.0,0.001460781402601615
-beauti,0.0013764624913971094,0.0,0.0,0.0011875503492326626
-becaus,0.0016165271211570113,0.0027137042062415195,0.0012077294685990338,0.0029834989714359332
-bedu,0.0,0.0,0.0,0.0013088087841016105
-beep,0.0013966480446927375,0.0,0.0014461315979754157,0.0
-beer,0.0013966480446927375,0.0,0.0,0.0
-befor,0.0,0.0,0.0,0.0011344157056542826
-beginn,0.0,0.0027137042062415195,0.0,0.0
-behav,0.0019029495718363464,0.0,0.0,0.0
-behind,0.0013764624913971094,0.0,0.0,0.0
-bell,0.0,0.0,0.0014461315979754157,0.0
-belt,0.0013966480446927375,0.0,0.0,0.0
-besid,0.0019029495718363464,0.0,0.0,0.0
-betina,0.0,0.0,0.0,0.0023751006984653253
-beto,0.0019029495718363464,0.0,0.0,0.0
-between,0.0,0.005305039787798408,0.0,0.0
-bi,0.0019029495718363464,0.002129925452609159,0.0,0.0
-bide,0.0,0.002129925452609159,0.0,0.0
-big,0.0,0.0014492753623188406,0.0,0.0
-billi,0.0,0.0,0.0,0.001022527912643461
-bird,0.0,0.0,0.0014461315979754157,0.0
-bitch,0.0,0.0,0.0,0.0010076161019738576
-black,0.0013966480446927375,0.0,0.0,0.0
-blasphemi,0.0,0.0,0.0,0.0013088087841016105
-bloodi,0.0,0.0,0.0,0.0013088087841016105
-blow,0.002607561929595828,0.0,0.0,0.0
-blue,0.0,0.0014492753623188406,0.0,0.0
-bodi,0.0013764624913971094,0.0,0.0,0.0
-bonnaroo,0.0,0.0021691973969631237,0.0,0.0
-boo,0.0,0.0,0.0,0.00133699309170003
-boom,0.0,0.0,0.0,0.001022527912643461
-both,0.003940886699507389,0.0,0.0,0.0
-bounti,0.0,0.0,0.0,0.0011875503492326626
-boy,0.0014275517487508922,0.0014492753623188406,0.0,0.0
-bradman,0.0,0.0021691973969631237,0.0,0.0
-bravo,0.0011864315672737561,0.0,0.0,0.0013088087841016105
-break,0.0,0.0,0.0012077294685990338,0.0
-breath,0.0013966480446927375,0.0,0.0,0.0
-brendan,0.0,0.0,0.006038647342995169,0.0
-brighton,0.0,0.0,0.0,0.0013088087841016105
-brittl,0.0,0.0,0.0,0.0011875503492326626
