,Malas,Regulares,Buenas,Excelentes
aaronson,0.0,0.0,0.0,0.022477934927009408
aaskavariian,0.0,0.0,0.014901381782053713,0.0
ab,0.010142217981558834,0.0042207606822199486,0.004142771756088759,0.0022079427082292687
ababa,0.0,0.005279394272043618,0.0,0.0
ababwa,0.0,0.0,0.04513125501507351,0.0
abaddon,0.0,0.004785955445705195,0.0,0.0
abagnal,0.0,0.0,0.09468058786314042,0.0
abagnele,0.0,0.0,0.004116547298397409,0.0
abagnole,0.0,0.0,0.004116547298397409,0.0
abajo,0.003936448354092523,0.0,0.0,0.0
abandon,0.0048706565192539394,0.0026149068939882204,0.0025253692456402885,0.006640586648111352
abas,0.0,0.0,0.006345911704330515,0.0
abat,0.0,0.0038568997958040637,0.0,0.0
abb,0.004844859512729258,0.0,0.0,0.0
abba,0.0,0.0,0.0,0.005467289380684059
abbacor,0.0,0.0,0.010532303288541867,0.0
abbadoo,0.0,0.0,0.010953595420083543,0.0
abbandando,0.0,0.0,0.0,0.004157305192440948
abbey,0.0,0.0,0.0031122544064342544,0.00607945691751741
abbi,0.0,0.0,0.006180880634492675,0.004641353991560823
abbisinian,0.0,0.0,0.013751784643117982,0.0
abbot,0.0,0.007449222195798979,0.0,0.0
abbotsvil,0.0,0.0,0.01225353573258373,0.0
abbott,0.0,0.19965847559662364,0.0026596956920101928,0.0
abbrevi,0.0,0.0,0.004563998091701476,0.0
abc,0.010567646588167846,0.004586882312592547,0.0026596956920101928,0.0
abdel,0.0,0.0,0.0,0.010906177258091837
abdomen,0.005406281001328787,0.003432437345981685,0.0,0.0
abdomin,0.0,0.00941452521158152,0.0,0.0
abdomini,0.0,0.0,0.0,0.004540964215247322
abduct,0.004186499512601728,0.0076343240806642865,0.0031447883662735986,0.004223968381705871
abductor,0.0,0.0,0.005151810832709643,0.00451492284340361
abdul,0.0,0.0,0.012989965668570316,0.008908511126659175
abdullah,0.0,0.0,0.012277421767150168,0.0
abe,0.0030708519583364387,0.02454527422660965,0.006345911704330515,0.0
abeauti,0.0030708519583364387,0.0,0.0,0.0
abeg,0.0,0.0,0.004775070027708898,0.0
abeja,0.003936448354092523,0.0,0.0,0.0
abel,0.0,0.0,0.0,0.009358569638258598
abella,0.0,0.019172960019933138,0.0,0.0
aberforth,0.0,0.0,0.009645202705280301,0.0
abernati,0.0,0.00941452521158152,0.0,0.0
aberr,0.0,0.0,0.0034971223578834187,0.005969969067818044
abersham,0.005387782178398662,0.0,0.0,0.0
abet,0.0055589738451438985,0.0,0.002867094724290584,0.0
abg,0.005406281001328787,0.0,0.0,0.0
abhay,0.014562583506469448,0.0,0.0,0.0
abhi,0.021843875259704174,0.0,0.0,0.0
abhor,0.014325210083126693,0.006355517019725566,0.0,0.0
abi,0.010351191479202385,0.01106283589339755,0.0,0.0
abid,0.007872896708185046,0.0024254306300251368,0.004750505807957588,0.006584481240520304
abierto,0.011809345062277567,0.0,0.0,0.0
abigail,0.004473236766014231,0.0,0.0,0.0
abiiiti,0.0,0.004143629846413182,0.0,0.0
abil,0.00426649631857501,0.005841713850225133,0.0025253692456402885,0.0035387374493710904
abilen,0.0,0.01823837075255223,0.012182432043613222,0.0
abinisia,0.0,0.0,0.0072897191742454116,0.0
abisinia,0.0,0.0,0.0072897191742454116,0.0
abisola,0.005505522173555976,0.0,0.0,0.0
abject,0.0,0.0,0.010029167781127446,0.004607401145975154
abl,0.005095408745966702,0.003350569090601869,0.00463328024016898,0.0016277385245829154
ablaz,0.004540964215247322,0.0,0.0,0.0026744447416339858
ablebodi,0.01614953170909753,0.0,0.004682763841299655,0.0037568164785442976
abless,0.0030708519583364387,0.0,0.0,0.0
ableto,0.0030708519583364387,0.0,0.0,0.0
abli,0.0,0.0,0.0,0.0034549190162084676
abner,0.0,0.018398200681250348,0.0,0.054708511327235934
abnorm,0.011214664395954671,0.008347237804896638,0.0026596956920101928,0.00413665696382885
abo,0.0,0.004173618902448319,0.0,0.004084511910861242
aboard,0.010632916655112516,0.007661998607006694,0.005117708031647019,0.003005932374465781
abod,0.007483538299049522,0.0,0.0,0.009158774813706033
abolish,0.005383177236365843,0.0024254306300251368,0.010926257672491406,0.004382463007027436
abolit,0.005383177236365843,0.0,0.0,0.0
abomb,0.0,0.005448371424349513,0.004346664849239501,0.0
abomin,0.002394940519467648,0.012332607669940796,0.01079897212436122,0.009358569638258598
aboom,0.0,0.0,0.0,0.0036918624657374184
aboput,0.005328525690818982,0.0,0.0,0.0
aborigin,0.0,0.014069212285662032,0.0,0.0
